D,S1,S1_bot_bot,S2,S3,S4,S5,ProposedLTB,ProposedLTT2,Rahimi,Sanyal,Chen,ZZhu,Zhu,Conventional,Yuan12,Yuan15,Zhao,Jajodia,Hu,Du
35.0,50.8671875,50.8671875,142.6171875,138.61767578125,74.61767578125,102.24267578125,142.6171875,304.8671875,50.8671875,149.2841796875,156.7841796875,25.0341796875,101.7353515625,714.470703125,29.2353515625,46.6171875,25.2841796875,146.86767578125,50.86767578125,1108.466064453125
36.0,51.33203125,51.33203125,142.58203125,138.83251953125,74.83251953125,102.20751953125,142.58203125,305.33203125,51.33203125,149.7490234375,157.2490234375,25.2490234375,102.6650390625,716.330078125,29.6650390625,46.83203125,25.4990234375,147.33251953125,51.33251953125,1109.466064453125
37.0,51.33203125,51.33203125,142.58203125,138.83251953125,74.83251953125,102.20751953125,142.58203125,305.33203125,51.33203125,149.7490234375,157.2490234375,25.2490234375,102.6650390625,716.330078125,29.6650390625,46.83203125,25.4990234375,147.33251953125,51.33251953125,1108.538330078125
38.0,51.794921875,51.794921875,143.044921875,139.04541015625,75.04541015625,102.17041015625,143.044921875,306.794921875,52.044921875,150.2119140625,157.7119140625,25.4619140625,103.5908203125,718.181640625,30.0908203125,47.044921875,25.7119140625,147.79541015625,51.79541015625,1109.538330078125
39.0,51.794921875,51.794921875,143.044921875,139.04541015625,75.04541015625,102.17041015625,143.044921875,306.794921875,52.044921875,150.2119140625,157.7119140625,25.4619140625,103.5908203125,718.181640625,30.0908203125,47.044921875,25.7119140625,147.79541015625,51.79541015625,1108.614501953125
40.0,52.255859375,52.255859375,143.005859375,139.25634765625,75.25634765625,102.13134765625,143.005859375,307.255859375,52.505859375,150.6728515625,158.1728515625,25.6728515625,104.5126953125,720.025390625,30.5126953125,47.255859375,25.9228515625,148.25634765625,52.25634765625,1109.614501953125
41.0,52.255859375,52.255859375,143.005859375,139.25634765625,75.25634765625,102.13134765625,143.005859375,307.255859375,52.505859375,150.6728515625,158.1728515625,25.6728515625,104.5126953125,720.025390625,30.5126953125,47.255859375,25.9228515625,148.25634765625,52.25634765625,1108.694580078125
42.0,52.71484375,52.71484375,143.46484375,139.46533203125,75.46533203125,102.09033203125,143.46484375,306.71484375,52.71484375,151.1318359375,158.6318359375,25.8818359375,105.4306640625,721.861328125,30.9306640625,47.46484375,26.1318359375,148.71533203125,52.71533203125,1109.694580078125
43.0,52.71484375,52.71484375,143.46484375,139.46533203125,75.46533203125,102.09033203125,143.46484375,306.71484375,52.71484375,151.1318359375,158.6318359375,25.8818359375,105.4306640625,721.861328125,30.9306640625,47.46484375,26.1318359375,148.71533203125,52.71533203125,1108.778564453125
44.0,53.171875,53.171875,143.421875,139.67236328125,75.67236328125,102.04736328125,143.421875,307.171875,53.171875,151.5888671875,159.0888671875,26.0888671875,106.3447265625,723.689453125,31.3447265625,47.671875,26.3388671875,149.17236328125,53.17236328125,1109.778564453125
45.0,53.171875,53.171875,143.421875,139.67236328125,75.67236328125,102.04736328125,143.421875,307.171875,53.171875,151.5888671875,159.0888671875,26.0888671875,106.3447265625,723.689453125,31.3447265625,47.671875,26.3388671875,149.17236328125,53.17236328125,1108.866455078125
46.0,53.626953125,53.626953125,143.876953125,139.87744140625,75.87744140625,102.00244140625,143.876953125,308.626953125,53.876953125,152.0439453125,159.5439453125,26.2939453125,107.2548828125,725.509765625,31.7548828125,47.876953125,26.5439453125,149.62744140625,53.62744140625,1109.866455078125
47.0,53.626953125,53.626953125,143.876953125,139.87744140625,75.87744140625,102.00244140625,143.876953125,308.626953125,53.876953125,152.0439453125,159.5439453125,26.2939453125,107.2548828125,725.509765625,31.7548828125,47.876953125,26.5439453125,149.62744140625,53.62744140625,1108.958251953125
48.0,54.080078125,54.080078125,143.830078125,140.08056640625,76.08056640625,101.95556640625,143.830078125,309.080078125,54.330078125,152.4970703125,159.9970703125,26.4970703125,108.1611328125,727.322265625,32.1611328125,48.080078125,26.7470703125,150.08056640625,54.08056640625,1109.958251953125
49.0,54.080078125,54.080078125,143.830078125,140.08056640625,76.08056640625,101.95556640625,143.830078125,309.080078125,54.330078125,152.4970703125,159.9970703125,26.4970703125,108.1611328125,727.322265625,32.1611328125,48.080078125,26.7470703125,150.08056640625,54.08056640625,1109.053955078125
50.0,54.53125,54.53125,144.28125,140.28173828125,76.28173828125,101.90673828125,144.28125,308.53125,54.53125,152.9482421875,160.4482421875,26.6982421875,109.0634765625,729.126953125,32.5634765625,48.28125,26.9482421875,150.53173828125,54.53173828125,1110.053955078125
51.0,54.53125,54.53125,144.28125,140.28173828125,76.28173828125,101.90673828125,144.28125,308.53125,54.53125,152.9482421875,160.4482421875,26.6982421875,109.0634765625,729.126953125,32.5634765625,48.28125,26.9482421875,150.53173828125,54.53173828125,1109.153564453125
52.0,54.98046875,54.98046875,144.23046875,140.48095703125,76.48095703125,101.85595703125,144.23046875,308.98046875,54.98046875,153.3974609375,160.8974609375,26.8974609375,109.9619140625,730.923828125,32.9619140625,48.48046875,27.1474609375,150.98095703125,54.98095703125,1110.153564453125
53.0,54.98046875,54.98046875,144.23046875,140.48095703125,76.48095703125,101.85595703125,144.23046875,308.98046875,54.98046875,153.3974609375,160.8974609375,26.8974609375,109.9619140625,730.923828125,32.9619140625,48.48046875,27.1474609375,150.98095703125,54.98095703125,1109.257080078125
54.0,55.427734375,55.427734375,144.677734375,140.67822265625,76.67822265625,101.80322265625,144.677734375,310.427734375,55.677734375,153.8447265625,161.3447265625,27.0947265625,110.8564453125,732.712890625,33.3564453125,48.677734375,27.3447265625,151.42822265625,55.42822265625,1110.257080078125
55.0,55.427734375,55.427734375,144.677734375,140.67822265625,76.67822265625,101.80322265625,144.677734375,310.427734375,55.677734375,153.8447265625,161.3447265625,27.0947265625,110.8564453125,732.712890625,33.3564453125,48.677734375,27.3447265625,151.42822265625,55.42822265625,1109.364501953125
56.0,55.873046875,55.873046875,144.623046875,140.87353515625,76.87353515625,101.74853515625,144.623046875,310.873046875,56.123046875,154.2900390625,161.7900390625,27.2900390625,111.7470703125,734.494140625,33.7470703125,48.873046875,27.5400390625,151.87353515625,55.87353515625,1110.364501953125
57.0,55.873046875,55.873046875,144.623046875,140.87353515625,76.87353515625,101.74853515625,144.623046875,310.873046875,56.123046875,154.2900390625,161.7900390625,27.2900390625,111.7470703125,734.494140625,33.7470703125,48.873046875,27.5400390625,151.87353515625,55.87353515625,1109.475830078125
58.0,56.31640625,56.31640625,145.06640625,141.06689453125,77.06689453125,101.69189453125,145.06640625,310.31640625,56.31640625,154.7333984375,162.2333984375,27.4833984375,112.6337890625,736.267578125,34.1337890625,49.06640625,27.7333984375,152.31689453125,56.31689453125,1110.475830078125
