D,S1,S1_bot_bot,S2,S3,S4,S5,ProposedLTB,ProposedLTT2,Rahimi,Sanyal,Chen,ZZhu,Zhu,Conventional,Yuan12,Yuan15,Zhao,Jajodia,Hu,Du
73.0,59.365234375,59.365234375,18.115234375,10.36572265625,74.36572265625,42.36572265625,18.115234375,185.865234375,59.365234375,22.2822265625,37.7822265625,29.0322265625,118.7314453125,309.462890625,36.7314453125,-4.634765625,29.0322265625,73.11572265625,59.36572265625,922.7314453125
74.0,59.79296875,59.79296875,18.54296875,10.54345703125,74.54345703125,42.54345703125,18.54296875,186.29296875,59.54296875,22.7099609375,38.2099609375,29.2099609375,119.5869140625,313.173828125,37.0869140625,-4.20703125,29.2099609375,73.04345703125,59.79345703125,924.5869140625
75.0,59.79296875,59.79296875,18.54296875,10.54345703125,74.54345703125,42.54345703125,18.54296875,186.29296875,59.54296875,22.7099609375,38.2099609375,29.2099609375,119.5869140625,313.173828125,37.0869140625,-4.20703125,29.2099609375,73.04345703125,59.79345703125,924.5869140625
76.0,60.21875,60.21875,18.46875,10.71923828125,74.71923828125,42.71923828125,18.46875,186.71875,59.96875,23.1357421875,38.6357421875,29.3857421875,120.4384765625,316.876953125,37.4384765625,-3.78125,29.3857421875,72.96923828125,60.21923828125,926.4384765625
77.0,60.21875,60.21875,18.46875,10.71923828125,74.71923828125,42.71923828125,18.46875,186.71875,59.96875,23.1357421875,38.6357421875,29.3857421875,120.4384765625,316.876953125,37.4384765625,-3.78125,29.3857421875,72.96923828125,60.21923828125,926.4384765625
78.0,60.642578125,60.642578125,18.892578125,10.89306640625,74.89306640625,42.89306640625,18.892578125,187.142578125,60.642578125,23.5595703125,39.0595703125,29.5595703125,121.2861328125,320.572265625,37.7861328125,-3.357421875,29.5595703125,72.89306640625,60.64306640625,928.2861328125
79.0,60.642578125,60.642578125,18.892578125,10.89306640625,74.89306640625,42.89306640625,18.892578125,187.142578125,60.642578125,23.5595703125,39.0595703125,29.5595703125,121.2861328125,320.572265625,37.7861328125,-3.357421875,29.5595703125,72.89306640625,60.64306640625,928.2861328125
80.0,61.064453125,61.064453125,18.814453125,11.06494140625,75.06494140625,43.06494140625,18.814453125,187.564453125,61.064453125,23.9814453125,39.4814453125,29.7314453125,122.1298828125,324.259765625,38.1298828125,-2.935546875,29.7314453125,72.81494140625,61.06494140625,930.1298828125
81.0,61.064453125,61.064453125,18.814453125,11.06494140625,75.06494140625,43.06494140625,18.814453125,187.564453125,61.064453125,23.9814453125,39.4814453125,29.7314453125,122.1298828125,324.259765625,38.1298828125,-2.935546875,29.7314453125,72.81494140625,61.06494140625,930.1298828125
82.0,61.484375,61.484375,19.234375,11.23486328125,75.23486328125,43.23486328125,19.234375,187.984375,61.234375,24.4013671875,39.9013671875,29.9013671875,122.9697265625,327.939453125,38.4697265625,-2.515625,29.9013671875,72.73486328125,61.48486328125,931.9697265625
83.0,61.484375,61.484375,19.234375,11.23486328125,75.23486328125,43.23486328125,19.234375,187.984375,61.234375,24.4013671875,39.9013671875,29.9013671875,122.9697265625,327.939453125,38.4697265625,-2.515625,29.9013671875,72.73486328125,61.48486328125,931.9697265625
